Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34m26K64fX2OtUVov3z1Ej,"Everywhere I Go","Everywhere I Go","Tay-K",2026-06-11,87120,42,true,,2026-06-12T09:27:39Z,"","broke",0.714,0.705,2,-4.721,1,0.263,0.295,0,0.402,0.362,155.948,4
spotify:track:3giaIadVPxRlzhGShtwDqT,"Kanacke","Kanacke","Erzin",2025-07-04,153683,45,true,,2026-06-09T07:45:47Z,"","igroovemusic.com",0.672,0.962,7,-4.067,1,0.26,0.2,0,0.159,0.532,174.143,4
spotify:track:5xY8fJV3LjN0YzjbTQf2J4,"4 RÄDER","VOL. 5","TIEFBASSKOMMANDO;MC Kneipenkrieger",2025-06-20,165812,58,true,,2026-06-09T07:45:09Z,"miami bass,german hip hop","TIEFBASSKOMMANDO",0.87,0.69,1,-5.753,1,0.221,0.0405,0,0.639,0.518,150.065,4
spotify:track:7pneXkALm3yPh5juOMlsbC,"No Fakin (with EST Gee)","Part 3","42 Dugg;EST Gee",2026-01-23,155557,56,true,,2026-06-01T20:18:27Z,"","4PF/CMG/Interscope Records",0.713,0.933,11,-4.131,1,0.196,0.058,0,0.197,0.573,85.957,4
spotify:track:4n4tC4qO2LeWQRM9Gbbtop,"Shot Callin","MASA","YoungBoy Never Broke Again",2025-07-25,225185,73,true,,2026-06-01T20:04:56Z,"","Never Broke Again/Motown Records",0.689,0.796,8,-5.613,1,0.349,0.00511,0,0.404,0.57,162.005,4
spotify:track:7Be8ZfmNcN3gcaIYjkDdvG,"NIE NA PRÓŻNO","NIE NA PRÓŻNO","vkie",2026-05-22,146966,68,false,,2026-05-21T23:52:55Z,"","VKIE",0.648,0.747,7,-6.776,1,0.232,0.0448,0,0.0751,0.488,170.002,4
spotify:track:6c6WmIHcHlhccEwSFBhzNa,"Put It On Da Floor Again (feat. Cardi B)","Put It On Da Floor Again (feat. Cardi B)","Latto;Cardi B",2023-06-02,185748,61,true,,2026-04-04T12:22:34Z,"","Streamcut/RCA Records",0.849,0.614,1,-7.323,1,0.317,0.0282,0,0.0603,0.472,111.363,5
spotify:track:5AKOpZ9wAqJgoTNy59iO0n,"HUNDE FREESTYLE 2","HUNDE FREESTYLE 2","BIGBAX;YungPepsi",2023-01-06,153094,34,true,,2026-04-03T20:43:38Z,"german hip hop","SCAMUNIVERSITY",0.776,0.871,5,-7.908,1,0.432,0.0691,0,0.0891,0.739,100.94,4
spotify:track:2zMNV9IptjVW5efOgAOxsW,"hebe","hebe","maharadzza;1olliee",2025-11-14,102485,43,true,,2026-04-01T20:34:18Z,"","maharadzza",0.649,0.565,0,-7.806,1,0.069,0.0501,0,0.512,0.304,177.912,5
spotify:track:2guW0FLEPd4QgJn9GEDi0n,"da da da(żyje dla rapu)","da da da(żyje dla rapu)","spazma",2026-03-29,98400,64,true,,2026-03-30T09:34:12Z,"","spazma",0.776,0.726,5,-5.531,0,0.0604,0.036,0,0.159,0.255,100.051,4
spotify:track:5YbDA37CN0YcgZXF6L2cBX,"FDO","FDO","Pooh Shiesty",2025-12-12,319213,78,true,,2026-03-02T21:36:22Z,"","1017/Atlantic",0.828,0.685,8,-7.554,1,0.357,0.0955,0,0.133,0.487,146.053,4
spotify:track:3VW6HJYa5l0uzGcCRA222P,"Ca$ino","Ca$ino","Baby Keem",2026-02-20,260825,77,true,,2026-02-24T19:25:45Z,"","pgLang/Columbia",0.533,0.784,1,-5.477,1,0.0614,0.00236,0,0.356,0.282,145.694,4
spotify:track:7bwLHhqhRu0fVTM3aaeK9V,"Birds & the Bees","Ca$ino","Baby Keem",2026-02-20,136542,72,true,,2026-02-24T00:15:36Z,"","pgLang/Columbia",0.863,0.442,4,-6.16,0,0.0738,0.475,0,0.101,0.419,84.961,4
spotify:track:0pX96KpL3B6rWpe13AuWza,"BANDO","BANDO","Sentino;Beathoven",2025-11-21,151578,54,true,,2026-02-17T09:03:31Z,"","Sentino",0.674,0.701,5,-6.496,0,0.153,0.155,0,0.0856,0.763,152.023,4
spotify:track:4nZyNdMHeodP5EOxNg5rkF,"MELO (FREE JOE EXOTIC)","I Got So Much Enrgy, Vol. 1","Enrgy Beats",2022-02-09,170971,20,false,,2026-02-04T22:18:58Z,"","SYNRGY RECORDS",0.593,0.32,0,-12.09,1,0.0367,0.0485,0.891,0.142,0.204,96.496,4
spotify:track:007LlBdoTjaNTR9LltVCL9,"DOBRZE ZNAM SIĘ Z WITAMINĄ","DOBRZE ZNAM SIĘ Z WITAMINĄ","hugevkie",2019-01-01,75093,32,false,,2026-01-30T22:02:22Z,"","hugevkie",0.691,0.663,1,-9.185,1,0.0615,0.0244,0,0.129,0.481,103.453,4
spotify:track:2TuU1VQW90lmTEVh4MY5Rq,"No Love","No Love","Kt Foreign;Sethii Shmactt;Mike Sherm",2018-09-22,189387,36,true,,2026-01-29T21:40:28Z,"hyphy","God Body The Label",0.907,0.591,7,-8.532,1,0.185,0.42,0,0.153,0.862,107.119,4
spotify:track:3e2P4QOPNkw1XSCqUBCOGH,"Wait A Minute","Mr. Jiggy Man","CamDaGuapo",2024-07-09,145657,58,true,,2026-01-29T21:40:12Z,"","CamDaGuapo",0.838,0.439,10,-6.217,0,0.147,0.164,0,0.103,0.619,99.992,4
spotify:track:6TUDPesFcT8JW6AWAoHxc6,"News Flash","Shmack Talk","Sethii Shmactt",2018-03-24,125178,60,true,,2026-01-29T21:39:51Z,"","Duetti",0.845,0.487,2,-9.513,1,0.337,0.117,0,0.0837,0.631,97.045,4
spotify:track:4yB7xQNE8HMNmevHVh6ObY,"Szachownica","Kopenhaga","Yung Adisz;Tosiek",2023-03-03,152399,44,false,,2026-01-29T21:37:25Z,"","yung adisz",0.828,0.53,8,-12.288,0,0.214,0.0415,0.00877,0.2,0.191,100.012,4
spotify:track:28n0Icj6yUrT4vZP1kR1ir,"WIEM CO CHCE","WIEM CO CHCE","Gryzzly;Bary;Myczu;prxnce",2026-01-05,132803,45,false,,2026-01-21T10:48:13Z,"","Gryzzly",0.813,0.538,8,-14.688,1,0.121,0.0299,0,0.192,0.192,99.983,4
spotify:track:5Iq5rRcwoWzrR8cZEKcxXk,"Stupid Shit - A.T. mixxx","Stupid Shit (A.T. mixxx)","Rio Da Yung Og;A.T.",2019-07-09,120320,71,true,,2026-01-11T16:00:46Z,"","M I N E Entertainment / EMPIRE",0.721,0.608,8,-7.986,0,0.162,0.552,0.0645,0.145,0.245,91.678,4
spotify:track:6cxqo4OGwXCxJ8Y0oYdZpX,"Pluto Taught Me","Olympic Shit Talking","Bfb Da Packman;Rio Da Yung Og",2025-12-12,168575,1,true,,2025-12-16T21:44:24Z,"","THE LUNCH CREW COMPANY LLC / M I N E / SYNRGY RECORDS",0.651,0.752,3,-8.504,0,0.334,0.657,0,0.242,0.812,93.603,4
spotify:track:4BNO4G9x3EzHfeELoklztP,"Long Live Drakeo The Ruler","Long Live Drakeo The Ruler","Rio Da Yung Og",2025-12-12,187151,37,true,,2025-12-15T23:11:33Z,"","M I N E Entertainment / EMPIRE",0.646,0.763,6,-4.952,0,0.349,0.33,0,0.126,0.44,75.523,4
spotify:track:1mz4emMquYK6TclYOw6pNp,"JUŻ PÓŹNO ALE PIENIĄDZ NIE ŚPI","JUŻ PÓŹNO ALE PIENIĄDZ NIE ŚPI","vkie;YPNTY",2025-12-05,196763,61,false,,2025-12-05T19:13:56Z,"","vkie",0.635,0.854,8,-6.813,1,0.213,0.117,0,0.147,0.611,156.842,4
spotify:track:4LsN3IOUapOLEPTNIZOX53,"VKIE","to jest wasz idol?","vkie fan",2023-12-05,165093,0,true,,2025-12-03T15:19:12Z,"","vkie fan",0.877,0.313,11,-17.738,1,0.447,0.136,0,0.112,0.318,88.028,4
spotify:track:3xsJZ9laluvAEoqnkWsaGn,"Big Boom","Big Boom (At MIX)","Bfb Da Packman;Rio Da Yung Og",2025-11-25,181344,24,true,,2025-11-30T17:53:21Z,"","The Lunch Crew Company LLC",0.721,0.72,11,-6.984,0,0.365,0.205,0,0.191,0.711,94.089,4
spotify:track:4Cg7xBdI08BcfqwOC3aRfr,"Different Music","F.L.I.N.T. (Feeling Like I'm Not Through)","Rio Da Yung Og",2025-08-10,171049,62,true,,2025-11-18T19:16:16Z,"","M I N E Entertainment / EMPIRE",0.658,0.608,11,-9.998,1,0.58,0.0264,0,0.0981,0.338,119.259,5
spotify:track:764XaHBUmgOlpWQ48w9K1M,"DOBRZE ZNAM SIE Z WITAMINĄ","DLA MOICH WYGŁODNIAŁYCH FANÓW MIXTAPE","vkie fan",2025-11-11,76458,1,true,,2025-11-14T13:24:48Z,"","10642307 Records DK",0.677,0.625,1,-10.024,1,0.143,0.0321,0,0.132,0.301,103.519,4
spotify:track:3HiaUgDpvErijJQztll2uF,"TU I TAM","TU I TAM","szatz;Gryzzly;ciaglamantra",2025-08-07,141527,25,true,,2025-11-10T12:19:05Z,"","STZ",0.88,0.611,1,-9.932,1,0.229,0.0386,0,0.0997,0.362,95.572,4
spotify:track:08EjKGGVmWtUcOm1OcsAC2,"HELLO WIN","HELLO WIN","Gryzzly;Myczu",2025-10-31,157732,27,true,,2025-11-05T10:55:15Z,"","Gryzzly",0.839,0.59,1,-11.802,1,0.0512,0.0127,0,0.124,0.097,102.482,4
spotify:track:1erl58kCgZtjZIsXqaBaL5,"KO","KO","NLE The Great;NLE Choppa",2025-10-30,214122,38,false,,2025-11-01T18:25:44Z,"","Warner Records",0.816,0.87,9,-3.348,0,0.266,0.0786,0,0.0485,0.762,95.367,4
spotify:track:7uxc4HvgV6AVnojvw1kAnc,"Mętal Scrapę","Spiritual Warfare","Almighty Slime",2025-10-17,97830,9,true,,2025-10-24T11:09:59Z,"","Red money entertainment",0.62,0.659,4,-8.629,0,0.128,0.0287,0.00349,0.162,0.306,133.276,5
spotify:track:6JZqF2FKzuuo6IwHVk4Cn0,"EL PRESIDENTE","EL PRESIDENTE","mlody tk",2025-05-21,132500,15,true,,2025-10-22T10:21:19Z,"","tikejczyk",0.784,0.644,9,-5.819,1,0.31,0.145,0,0.153,0.536,96.064,4
spotify:track:0cEPwbhpFeF2N5CpwHnZTX,"BEZ POWROTU","tk: part three","mlody tk;SHEDER",2022-06-02,142754,27,false,,2025-10-21T17:07:08Z,"","2521971 Records DK",0.905,0.777,10,-5.759,0,0.284,0.181,0,0.216,0.646,102.051,4
spotify:track:0bdcTb8DLqzTIXl6kippGi,"BACKSHOT","tk: part three","mlody tk",2022-06-02,161326,19,false,,2025-10-21T17:05:15Z,"","2521971 Records DK",0.898,0.621,1,-10.701,1,0.178,0.0267,0.000461,0.132,0.223,97.514,4
spotify:track:551ZpPnS36uJVAECy0KOz9,"SEKTOR | SPICY MIC Performance","SEKTOR | SPICY MIC Performance","Gryzzly;Myczu",2025-10-14,153441,35,true,,2025-10-16T22:16:18Z,"","Gryzzly",0.88,0.576,1,-11.276,1,0.27,0.0408,0.0000031,0.114,0.108,106.016,4
spotify:track:1abUcyBvx6mUmAQfGjq9BN,"Ocean Blue Tints (feat. Baby Money & BabyTron)","Ocean Blue Tints (feat. Baby Money & BabyTron)","22nd Jim;Baby Money;BabyTron",2022-03-18,123449,33,true,,2025-09-30T11:42:21Z,"hyphy","Play Runners Association / EMPIRE",0.7,0.615,2,-7.783,1,0.373,0.00589,0,0.105,0.215,195.058,4
spotify:track:6bf6EucSDjeVSez8eTm49M,"Who Not Turnt","Easy Money","Baby Money;42 Dugg;Tay B",2022-02-04,134400,39,true,,2025-09-30T11:40:28Z,"","Quality Control Music (Caroline)",0.84,0.65,4,-8.304,0,0.287,0.184,0,0.116,0.308,100.024,4
spotify:track:53faENp9EksRRIvbmALEnN,"CHUJ W TO","EMO BABY","spazma",2025-08-11,89846,3,true,,2025-09-26T20:30:32Z,"","OVM™",0.702,0.736,1,-5.603,1,0.281,0.00194,0,0.459,0.371,129.985,5
spotify:track:55lkpY9uL6tdhyORq1HcTO,"Bag Back","Fiend Lives Matter","Rio Da Yung Og",2021-12-10,148271,34,true,,2025-09-23T16:50:17Z,"","#Boyz Entertainment LLC",0.83,0.536,1,-10.295,1,0.28,0.63,0.0000574,0.335,0.751,102.056,4
spotify:track:1anEzgYUjgg3pxKr3xXakF,"Flint Niggas","Flint Niggas","Stoner Gang Reece;Rio Da Yung Og;RMC Mike",2021-04-23,134976,13,true,,2025-09-23T16:47:41Z,"","SSO Stonter Gang",0.648,0.444,1,-7.922,1,0.347,0.0448,0.000974,0.225,0.545,125.379,5
spotify:track:0y0OpLLt4fUuzxpXINS6Jk,"Cęlibate","Experiments","Almighty Slime",2025-09-12,106996,7,true,,2025-09-21T18:17:05Z,"","Red money entertainment",0.635,0.493,1,-9.367,1,0.256,0.0067,0.0273,0.108,0.218,97.829,4
spotify:track:1kz8PO71wpx0Ud7dvhhl8g,"Ęlǐxǐr","Experiments","Almighty Slime",2025-09-12,101051,4,true,,2025-09-20T09:10:30Z,"","Red money entertainment",0.534,0.472,4,-7.583,0,0.261,0.0173,0,0.113,0.324,65.917,3
spotify:track:4iFpcbSNoF382YbntdCNqX,"KANKAN","YAUTRA","Lingo",2024-06-21,119668,32,true,,2025-09-19T22:18:04Z,"","trusthevsn",0.555,0.658,11,-11.077,1,0.116,0.305,0,0.109,0.555,167.85,4
spotify:track:2iogUZlP9PYq8uhOpZxWQw,"in da klub","EMO BABY","spazma;izonya polska;emonik",2025-08-11,117432,1,true,,2025-09-19T22:12:32Z,"","OVM™",0.698,0.775,9,-4.718,1,0.261,0.00106,0.0000119,0.0711,0.41,180.002,4
spotify:track:4m5R6HERAVfTNzdxtcG9iw,"Brightskin","Brightskin","Shauno",2021-08-08,89182,1,true,,2025-09-19T09:18:18Z,"","Free Money Records",0.598,0.332,7,-18.563,1,0.499,0.574,0.000437,0.178,0.748,117.667,5
spotify:track:5VzMK5wqE9r5e7RsyfvqyP,"Jackpot, Pt. 2","Ghetto Poetry","Almighty Slime",2022-03-31,78760,35,true,,2025-09-19T09:15:12Z,"","Red money entertainment",0.871,0.402,8,-10.654,1,0.34,0.349,0.0000235,0.109,0.268,101.507,4
spotify:track:2FJpj6wVlPHTvlWKJ9haLr,"BABY LOLA (ceskie divki)","EMO BABY","spazma",2025-08-11,99320,3,true,,2025-09-19T09:08:31Z,"","OVM™",0.778,0.886,7,-2.676,1,0.0545,0.00553,0.00916,0.0899,0.116,96.9,4
spotify:track:55FkO8z19mPAiSw1MUmdU6,"TRUSTNO1","TRUSTNO1","Aleshen;kidzlori",2020-12-28,111000,44,true,,2025-09-05T11:20:06Z,"","MyMusic",0.796,0.557,11,-10.156,0,0.521,0.239,0,0.101,0.538,159.877,4
spotify:track:2jtg1o3KKODnNF6wdVIjQO,"NIE ŻYJE NA POKAZ V2","KEEP ON GRINDIN","SHEDER;Lister",2023-08-24,117980,30,true,,2025-09-05T11:02:33Z,"","SHEDER",0.827,0.468,1,-9.719,1,0.283,0.00486,0,0.101,0.656,90.415,4
spotify:track:25iDGQVkyyTRHVv6Xceklk,"DŻENTELMEN","DŻENTELMEN","Gryzzly;Myczu",2025-08-26,129301,30,true,,2025-08-31T04:00:59Z,"","Gryzzly",0.712,0.611,1,-11.212,1,0.0532,0.0125,0,0.0945,0.039,93.936,4
spotify:track:7ubcimU18HA4wojQd51M7a,"Luty","Tarcho Terror","Otsochodzi",2022-08-04,157575,67,true,,2025-08-30T22:26:11Z,"","2020",0.823,0.55,5,-8.986,0,0.168,0.0879,0,0.111,0.199,98.985,4
spotify:track:2uLak5ZNkAyqP0hZy28fJw,"WYJEBANE","KEEP ON GRINDIN","SHEDER;Lister",2023-08-24,96127,30,true,,2025-08-28T21:10:51Z,"","SHEDER",0.79,0.656,4,-10.387,0,0.244,0.0695,0.00000112,0.137,0.284,100.059,4
spotify:track:3Cx90gjS6F9zNZxibozoRJ,"MUSIAŁBYŚ ZOBACZYĆ","KEEP ON GRINDIN","SHEDER;Lister",2023-08-24,157996,34,true,,2025-08-28T21:07:06Z,"","SHEDER",0.835,0.814,2,-7.961,1,0.32,0.0457,0,0.0656,0.918,158.993,4
spotify:track:3GViwvlo69bqXhJFenroBk,"WOŁA SEN MNIE","WOŁA SEN MNIE","SHEDER;Kosjusz",2023-08-18,97214,34,true,,2025-08-26T11:20:31Z,"","Kosjusz",0.74,0.668,2,-9.77,0,0.371,0.414,0,0.104,0.329,100.053,4
spotify:track:3mnQO3FlAHDKOz3EyokeDn,"NIE ŻYJE NA POKAZ","KEEP ON GRINDIN","SHEDER;Lister",2023-08-24,105000,34,true,,2025-08-24T19:50:10Z,"","SHEDER",0.856,0.699,4,-7.791,0,0.347,0.151,0,0.287,0.739,127.874,5
spotify:track:2UKOSvk55VhQfi8Qtt8i3s,"Michigander","Luka Troncic 2","BabyTron",2025-08-01,215238,34,true,,2025-08-23T14:23:11Z,"","The Hip Hop Lab Records / EMPIRE",0.759,0.871,1,-6.171,1,0.19,0.0775,0,0.343,0.498,125.938,4
spotify:track:1dayDxO0BP8TJiCidFpo2W,"Crash Yo Whip Music","6","BabyTron",2023-06-06,159464,56,true,,2025-08-23T14:22:42Z,"","The Hip Hop Lab Records / EMPIRE",0.593,0.692,1,-4.583,1,0.23,0.071,0.000036,0.149,0.165,130.973,5
spotify:track:4TPot2zdZDMXE8J8nkmvW3,"A2Z","Out On Bond","BabyTron",2023-02-24,160600,59,true,,2025-08-23T13:39:21Z,"","The Hip Hop Lab Records / EMPIRE",0.649,0.664,1,-4.495,0,0.265,0.0179,0.0299,0.102,0.11,98.478,4
spotify:track:7mrvTHm27E9xjQrARqr5iN,"Dead Opps Pt. 2","Dead Opps Pt. 2","Foolio",2022-07-08,111621,60,true,,2025-08-22T15:10:44Z,"","Foolio",0.866,0.463,2,-9.178,1,0.483,0.104,0,0.122,0.419,78.865,4
spotify:track:0EUo5sxtZnsVWP5GHeiQu3,"Lion Dance.","Lion Dance.","Aphrow",2020-01-23,114666,37,false,,2025-08-22T14:28:44Z,"lo-fi,lo-fi hip hop,lo-fi beats,jazz rap","Dreamhop Music",0.612,0.544,4,-9.087,0,0.0384,0.213,0.865,0.118,0.503,89.976,4
spotify:track:5Up9TtgEd7fLPyim5kEYAy,"NIGDY WIĘCEJ BROKE","NIGDY WIĘCEJ BROKE","SHEDER",2025-07-25,150927,27,true,,2025-08-10T16:14:24Z,"","SHEDER",0.806,0.531,1,-9.716,1,0.0768,0.0112,0,0.162,0.341,96.923,4
spotify:track:3Tlqe66OHs2X5irgFjTKMK,"Run On Sentence","Mind Of Destruction","9lokknine",2019-10-25,161760,49,true,,2025-08-09T20:07:55Z,"","Cash Money Records Inc.",0.668,0.632,7,-6.438,1,0.314,0.0403,0,0.0865,0.607,186.036,4
spotify:track:0qfmBCIupGMN7AFU1JClC3,"2 Feet","4th Quarter Shit Talking","Bfb Da Packman",2024-11-22,156003,47,true,,2025-08-09T20:00:53Z,"","The Lunch Crew Company LLC / SYNRGY RECORDS",0.815,0.547,1,-4.753,1,0.318,0.142,0,0.355,0.552,96.999,4
spotify:track:5bOSYjwa25Oko5ZJPNhnu9,"Wavy Crete","Wavy Crete","Babyface Ray;Lil Yachty",2025-08-08,154423,45,true,,2025-08-08T15:03:05Z,"","Wavy Gang / EMPIRE",0.697,0.545,1,-10.068,1,0.0519,0.00202,0.479,0.213,0.348,139.987,4
spotify:track:36WITNXdHFk6LaSeS4fJJp,"BIERZ TO NA WOLNO","BIERZ TO NA WOLNO","vkie",2025-08-01,213272,59,false,,2025-07-31T22:03:17Z,"","vkie",0.883,0.714,1,-6.94,1,0.38,0.0922,0,0.344,0.775,109.933,4
spotify:track:7myfzdhoSHSU0aEgOfaVGW,"SILESIAN CYPHER","SILESIAN CYPHER","Okekel;vkie;Aleshen;Miszel;ORINX;Adamsky;Skała;LARRY GOMEZ;Patryk Slatt;Drabusheyka",2025-07-29,210039,48,true,,2025-07-30T20:55:23Z,"harana","Universal Music Polska Sp. z o.o.",0.806,0.751,2,-6.929,1,0.139,0.0491,0,0.236,0.48,109.975,4
spotify:track:6S0HqvGWR268o7bVrZkTY3,"Pope Flow","Unorthadox","Almighty Slime",2025-04-25,143220,0,true,,2025-07-28T06:39:15Z,"","Red Money Entertainment",0.508,0.516,6,-13.864,0,0.304,0.0293,0.000388,0.0808,0.482,102.302,4
spotify:track:37uClHjDtF2haLKNu4oIhl,"dominikana","KRZYKI","kidzlori;ggweely",2025-02-28,200469,45,true,,2025-07-28T06:24:06Z,"","kidzlori",0.744,0.557,10,-7.749,1,0.102,0.0202,0,0.116,0.352,146.219,4
spotify:track:0CbqbY48Q9lmtsc7q0B15a,"Bez promo","Bez promo","Młody West",2025-03-27,138857,56,true,,2025-07-27T19:58:08Z,"","Mlody West",0.721,0.596,11,-8.89,1,0.472,0.022,0,0.11,0.165,76.089,4
spotify:track:7yNK27ZTpHew0c55VvIJgm,"Dark Fantasy","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,280786,73,true,,2025-07-26T18:56:04Z,"rap","Roc-A-Fella",0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4
spotify:track:5KNGqRsUwYreejPxL5uUId,"mulamoneyracks","mulamoneyracks","kk!",2024-11-24,124848,27,true,,2025-07-15T20:49:25Z,"german hip hop","RLTB",0.881,0.463,2,-9.859,1,0.359,0.156,0,0.105,0.476,99.964,4
spotify:track:5GXPs5UxfgyoVdfEl1GCP3,"MERRY X-MAS","MERRY X-MAS","Gryzzly",2024-12-06,131822,17,true,,2025-07-15T19:14:14Z,"","Borghi Label",0.778,0.56,7,-11.836,1,0.0582,0.0041,0,0.072,0.366,100.023,4
spotify:track:6ZXHxbpgHUDK6pmIBm7yGF,"STANOWISKO","STANOWISKO","Gryzzly",2024-10-10,147836,26,true,,2025-07-15T19:05:35Z,"","Borghi Label",0.761,0.526,9,-12.959,1,0.134,0.00659,0,0.144,0.109,93.006,4
spotify:track:06Jnn4SaXOAjbpiFtDOXUT,"JAK NIKT","JAK NIKT","Gryzzly",2025-05-03,150232,27,true,,2025-07-15T19:05:33Z,"","Gryzzly",0.736,0.597,11,-11.58,1,0.318,0.0164,0,0.319,0.906,160.004,4
spotify:track:2S3qQoDZHejJrZWsRUss7L,"NA SESJI","NA SESJI","Gryzzly;Myczu",2025-02-15,167487,25,true,,2025-07-15T19:05:29Z,"","Gryzzly",0.869,0.64,10,-11.827,0,0.115,0.018,0.0000123,0.183,0.275,111.004,4
spotify:track:1YmHOcjmp69C0bAxYtfhH5,"Pro7","Pro7","Yc",2024-01-25,91013,52,true,,2025-07-11T19:59:53Z,"german hip hop","GOLD LEAGUE",0.863,0.568,11,-9.373,1,0.341,0.0225,0,0.147,0.614,148.019,4
spotify:track:7spG1hR99gCB43DaEcq9VC,"Detroit","Detroit","Yc",2025-05-30,121186,53,true,,2025-07-11T13:43:29Z,"german hip hop","GOLD LEAGUE",0.655,0.712,5,-7.65,1,0.0637,0.00827,0.00587,0.289,0.0815,95.01,4
spotify:track:4GM632u5hmux1Ot7EzDaJ5,"Worth a Ticket","Fresh Out The Trenches","Wizz Havinn;BossMan Dlow",2024-06-14,192052,40,true,,2025-07-08T14:41:40Z,"","Open Shift Distribution",0.544,0.526,11,-8.592,1,0.293,0.0287,0,0.0962,0.149,80.037,4
spotify:track:1fRZYljmxzHoqcp1OoCm0j,"J.D.T.S.","Dom Strachu","Pako;Jony;BAHsick",2023-03-02,137575,19,true,,2025-07-06T12:21:26Z,"","WM Poland/WMI",0.776,0.797,1,-7.687,1,0.101,0.0742,0,0.0898,0.41,98.955,4
spotify:track:7oIVYZsEso5LZwke3jxqz3,"All Facts","All Facts","Expen$ive;Rio Da Yung Og",2020-08-10,167758,38,true,,2025-07-04T13:53:07Z,"","Brick Paid Flint Made",0.521,0.479,11,-12.588,0,0.229,0.255,0,0.14,0.479,122.822,5
spotify:track:4PzXo48ybTZ2A7lyjN8Kkl,"Serio","Serio","kidzlori",2023-03-03,129237,43,true,,2025-07-02T19:15:23Z,"","kidzlori",0.86,0.405,5,-9.397,0,0.427,0.21,0,0.1,0.505,91.019,4
spotify:track:5gBu9st9xdqO40N2z7jLyX,"mhm mhm","mhm mhm","kidzlori",2023-01-13,147692,58,true,,2025-06-25T19:46:48Z,"","kidzlori",0.957,0.473,1,-6.725,1,0.0738,0.0265,0,0.0986,0.32,130.009,3
spotify:track:1piDxJoLfye1vKg6PM0DkT,"I Don't Care","810 Baby","Expen$ive;Rio Da Yung Og",2021-01-28,158712,0,true,,2025-06-18T17:10:37Z,"","Duetti (Migration)",0.617,0.594,8,-9.562,1,0.475,0.218,0,0.262,0.465,127.591,5
spotify:track:74qVBQunQkjy7t2zUTVjpC,"co to znaczy","KRZYKI","kidzlori;Skibovicz",2025-02-28,139636,42,true,,2025-06-11T11:51:07Z,"","kidzlori",0.748,0.685,10,-4.599,1,0.249,0.0322,0,0.137,0.471,164.983,4
spotify:track:71qXzduqIy2hBjriPA1ELa,"Oh Ok","Oh Ok","kidzlori",2022-05-06,104629,33,true,,2025-06-11T11:39:04Z,"","kidzlori",0.887,0.447,11,-8.679,0,0.358,0.0421,0,0.111,0.279,151.955,4
spotify:track:2zZYe0VgBUAamZ9zTxzE4l,"Laced max","Laced max","LAZER DIM 700",2024-05-15,90005,64,true,,2025-06-07T22:05:59Z,"","LAZER DIM 700",0.77,0.515,11,-11.788,0,0.0804,0.0327,0.00000693,0.162,0.084,99.968,4
spotify:track:5swbomCpjzNHHq4GVoFkCX,"By Myself","By Myself","Ratvalli",2023-03-10,236577,0,true,,2025-06-06T14:39:06Z,"","Ratvalli Recordings, LLC/Tha Lights Global Distribution",0.616,0.317,1,-10.393,1,0.563,0.359,0.0000151,0.462,0.39,98.728,4
spotify:track:0d0VoVawsQHYPUvtS0ayoL,"Tha Switch Up","Greatest of All Slime","Almighty Slime",2022-07-20,159000,31,true,,2025-06-06T14:38:49Z,"","red money entertainment",0.848,0.491,0,-7.045,1,0.263,0.229,0.000247,0.093,0.312,98.444,4
spotify:track:02zqibsVqDjSuyh6ZM8kAF,"Crystal Clear","Testers, Pt. 2","Rio Da Yung Og",2019-07-09,139146,53,true,,2025-06-06T14:28:16Z,"","#Boyz Entertainment LLC",0.72,0.375,9,-12.502,1,0.574,0.184,0,0.301,0.494,180.033,4
spotify:track:34PhB0kHT00utubP3aTau8,"Burn The Hoods","Burn The Hoods","Ski Mask The Slump God",2020-07-24,102960,17,true,,2025-05-31T17:18:30Z,"","Republic Records",0.871,0.715,3,-7.828,0,0.147,0.196,0,0.14,0.378,150.955,4
spotify:track:6EKZhAqJuZhtoI5Tlxgs7o,"Recepta na sukces","Recepta na sukces","Kabe;Opiat;vkie",2025-05-23,179400,42,true,,2025-05-25T17:22:44Z,"","GCBW",0.404,0.835,8,-5.066,1,0.126,0.0841,0,0.171,0.309,91.687,4
spotify:track:6gbiTbclnHlmSIPfmF2zEc,"Gang Shit No Lame Shit","Glockoma","Key Glock",2018-11-23,131600,68,true,,2025-05-21T21:00:11Z,"","Paper Route Empire",0.828,0.434,5,-10.609,1,0.301,0.0394,0,0.0806,0.38,115.071,4
spotify:track:1WIZiOuNO3woKfdlSK2gNn,"Transportin'","Project Baby 2: All Grown Up","Kodak Black",2017-08-18,169344,81,true,,2025-05-21T19:58:36Z,"","Atlantic Records",0.804,0.66,10,-4.86,0,0.0726,0.0319,0,0.103,0.257,94.053,4
